Position,Height above ground [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h]
76.0,1.1,32.5,-6.935,-0.415,24.145,-29.073,78.685,-67.117,103.422
77.0,1.0,32.5,-7.943,-1.242,22.464,-29.021,78.918,-67.269,103.698
78.0,0.9,32.4,-8.949,-2.07,20.784,-28.969,79.15,-67.421,103.974
79.0,0.8,32.4,-9.956,-2.896,19.105,-28.917,79.383,-67.573,104.25
80.0,0.7,32.3,-10.962,-3.723,17.426,-28.865,79.615,-67.724,104.526
81.0,0.6,32.3,-11.968,-4.549,15.748,-28.814,79.847,-67.876,104.802
82.0,0.6,30.8,-14.648,-8.06,11.963,-26.318,80.683,-68.124,105.601
83.0,0.5,29.2,-17.47,-11.798,8.001,-23.617,81.569,-68.38,106.445
84.0,0.4,27.6,-20.292,-15.535,4.039,-20.915,82.455,-68.636,107.29
85.0,0.3,24.0,-22.938,-19.323,0.51,-17.356,83.025,-69.303,108.157
86.0,0.3,21.2,-26.098,-22.633,-0.587,-13.215,83.497,-70.24,109.12
87.0,0.2,19.4,-29.793,-25.445,0.834,-8.485,83.871,-71.452,110.187
88.0,0.1,13.4,-33.583,-28.455,2.291,-6.66,84.35,-72.51,111.249
88.5,0.0,10.3,-35.481,-29.966,3.021,-5.832,84.593,-73.035,111.782
0.0,2.4,0.0,-11.0,-11.0,0.0,0.0,83.612,-16.252,85.177
1.0,2.3,2.6,-7.222,-5.655,4.06,2.459,82.519,-10.391,83.174
2.0,2.3,5.0,-5.699,-1.068,4.541,2.227,83.12,-12.884,84.114
3.0,2.3,8.0,-4.045,3.498,4.1,3.818,83.805,-13.95,84.959
4.0,2.3,13.0,-1.879,7.813,1.163,10.601,84.661,-10.894,85.362
